Symbol,Company Name,Market Cap,Stock Price
359,IFCAMSC,IFCA MSC Berhad,379.87M
360,CITAGLB,Citaglobal Berhad,376.55M
361,HEKTAR,Hektar Real Estate Investment Trust,375.92M
362,KITACON,Kumpulan Kitacon Berhad,375.00M
363,ATAIMS,ATA IMS Berhad,372.89M
364,TTVHB,TT Vision Holdings Berhad,371.70M
365,FOCUSP,Focus Point Holdings Berhad,369.60M
366,TNLOGIS,Tiong Nam Logistics Holdings Berhad,364.97M
367,CEB,Cape EMS Berhad,362.08M
368,ULICORP,United U-LI Corporation Berhad,359.37M
369,KPPROP,Kerjaya Prospek Property Berhad,358.71M
370,MAG,MAG Holdings Berhad,355.84M
371,POHUAT,Poh Huat Resources Holdings Berhad,355.06M
372,KLUANG,Kluang Rubber Company (Malaya) Berhad,354.35M
373,KENERGY,Kawan Renergy Berhad,352.00M
374,KPS,Kumpulan Perangsang Selangor Berhad,351.99M
375,CHB,Critical Holdings Berhad,349.43M
376,INFOTEC,Infoline Tec Group Berhad,346.88M
377,VARIA,Varia Berhad,346.00M
378,MUDA,Muda Holdings Berhad,344.71M
379,NTPM,NTPM Holdings Berhad,342.53M
380,HTPADU,HeiTech Padu Berhad,341.84M
381,MBRIGHT,Meta Bright Group Berhad,341.73M
382,JAKS,JAKS Resources Berhad,338.89M
383,ECOMATE,Ecomate Holdings Berhad,334.75M
384,TITIJYA,Titijaya Land Berhad,333.48M
385,BPPLAS,BP Plastics Holding Bhd.,332.15M
386,OPTIMAX,Optimax Holdings Berhad,328.70M
387,WENTEL,Wentel Engineering Holdings Berhad,327.75M
388,YSPSAH,Y.S.P. Southeast Asia Holding Berhad,326.24M
389,UZMA,Uzma Berhad,325.45M
390,ATRIUM,Atrium Real Estate Investment Trust,323.97M
391,FM,FM Global Logistics Holdings Berhad,323.90M
392,GDB,GDB Holdings Berhad,323.44M
393,TEXCYCL,Tex Cycle Technology (M) Berhad,323.37M
394,ASIAFLE,Asia File Corporation Bhd.,322.42M
395,MERSEC,Mercury Securities Group Berhad,321.48M
396,EXSIMHB,Exsim Hospitality Berhad,320.46M
397,SKYGATE,Skygate Solutions Berhad,318.68M
398,UNITRAD,Unitrade Industries Berhad,317.99M
399,MAYBULK,Maybulk Berhad,315.55M
400,WMG,WMG Holdings Bhd.,312.17M
401,SSTEEL,Southern Steel Berhad,310.04M
402,NHFATT,New Hoong Fatt Holdings Berhad,309.19M
403,LFECORP,LFE Corporation Berhad,304.87M
404,AWC,AWC Berhad,304.86M
405,ELSOFT,Elsoft Research Berhad,304.66M
406,PANSAR,Pansar Berhad,303.70M
407,MESTRON,Mestron Holdings Berhad,300.23M
408,ASTINO,Astino Berhad,298.14M
409,HIL,Hil Industries Berhad,297.09M
410,JHM,JHM Consolidation Berhad,296.94M
411,GLOMAC,Glomac Berhad,295.49M
412,YNHPROP,YNH Property Bhd,293.31M
413,SCICOM,Scicom (MSC) Berhad,293.25M
414,YOCB,Yoong Onn Corporation Berhad,291.92M
415,STAR,Star Media Group Berhad,289.91M
416,SALCON,Salcon Berhad,289.83M
417,MUIPROP,MUI Properties Berhad,288.96M
418,SLP,SLP Resources Berhad,285.26M
419,PERSTIM,Perusahaan Sadur Timah Malaysia (Perstima) Berhad,284.01M
420,HOMERIZ,Homeritz Corporation Berhad,282.58M
421,BONIA,Bonia Corporation Berhad,281.39M
422,SEAL,Seal Incorporated Berhad,281.30M
423,PGLOBE,Paragon Globe Berhad,279.98M
424,MUDAJYA,Mudajaya Group Berhad,279.03M
425,NESTCON,Nestcon Berhad,278.73M
426,CORAZA,Coraza Integrated Technology Berhad,276.43M
427,PWF,PWF Corporation Bhd.,276.32M
428,YEWLEE,Yew Lee Pacific Group Berhad,276.07M
429,YENHER,Yenher Holdings Berhad,276.00M
430,NSOP,Negri Sembilan Oil Palms Berhad,275.89M
431,FAJAR,Fajarbaru Builder Group Bhd.,274.40M
432,TCHONG,Tan Chong Motor Holdings Berhad,273.69M
433,JKGLAND,JKG Land Berhad,272.99M
434,SSF,SSF Home Group Berhad,272.00M
435,SUNVIEW,Sunview Group Berhad,269.67M
436,IRIS,IRIS Corporation Berhad,269.19M
437,CHINWEL,Chin Well Holdings Berhad,266.40M
438,COMFORT,Comfort Gloves Berhad,266.34M
439,LAYHONG,Lay Hong Berhad,264.86M
440,PWRWELL,Powerwell Holdings Berhad,264.15M
441,AWANTEC,AwanBiru Technology Berhad,264.08M
442,SAMCHEM,Samchem Holdings Berhad,263.84M
443,KNM,KNM Group Berhad,262.86M
444,INTA,Inta Bina Group Berhad,261.97M
445,TECHBND,Techbond Group Berhad,261.39M
446,PTARAS,Pintaras Jaya Berhad,260.41M
447,HUBLINE,Hubline Berhad,257.36M
448,PLS,PLS Plantations Berhad,254.98M
449,SALUTE,Salutica Berhad,254.10M
450,NICE,Niche Capital Emas Holdings Berhad,252.26M
451,MICROLN,Microlink Solutions Berhad,252.01M
452,TONGHER,Tong Herr Resources Berhad,251.77M
453,PANDA,Panda Eco System Berhad,251.70M
454,PTRB,PT Resources Holdings Berhad,251.46M
455,MITRA,Mitrajaya Holdings Berhad,250.15M
456,SDRED,Selangor Dredging Berhad,249.28M
457,AGX,AGX Group Berhad,248.90M
458,BESHOM,Beshom Holdings Berhad,248.89M
459,JAG,JAG Berhad,248.25M
460,SUNZEN,Sunzen Biotech Berhad,245.00M
461,GADANG,Gadang Holdings Berhad,244.26M
462,RAMSSOL,Ramssol Group Berhad,244.04M
463,CNERGEN,Cnergenz Berhad,244.02M
464,N2N,N2N Connect Berhad,242.82M
465,MAGNA,Magna Prima Berhad,241.49M
466,KRONO,Kronologi Asia Berhad,240.41M
467,TSA,TSA Group Berhad,239.71M
468,FPHB,Farm Price Holdings Berhad,238.50M
469,MIKROMB,Mikro MSC Berhad,236.17M
470,RKI,Rhong Khen International Berhad,235.90M
471,AIZO,AIZO Group Berhad,235.49M
472,DUTALND,DutaLand Berhad,235.46M
473,SBH,SBH Marine Holdings Berhad,235.32M
474,NPC,NPC Resources Berhad,234.56M
475,UMC,UMediC Group Berhad,233.69M
476,CRG,Carlo Rino Group Berhad,233.64M
477,EVERGRN,Evergreen Fibreboard Berhad,232.28M
478,MAXIM,Maxim Global Berhad,231.54M
479,HEGROUP,HE Group Berhad,231.00M
480,PARKSON,Parkson Holdings Berhad,229.78M
481,HEXRTL,Hextar Retail Berhad,229.33M
482,MKLAND,M K Land Holdings Berhad,228.87M
483,XL,XL Holdings Berhad,226.44M
484,JCBNEXT,JcbNext Berhad,225.96M
485,MUIIND,Malayan United Industries Berhad,225.81M
486,BHIC,Boustead Heavy Industries Corporation Berhad,225.71M
487,CENGILD,Cengild Medical Berhad,224.89M
488,PARAGON,Paragon Union Berhad,224.66M
489,ARREIT,AmanahRaya Real Estate Investment Trust,223.56M
490,HARNLEN,Harn Len Corporation Bhd,222.54M
491,WTK,W T K Holdings Berhad,222.21M
492,BPURI,Bina Puri Holdings Bhd,221.64M
493,AIMFLEX,Aimflex Berhad,220.93M
494,PPHB,Public Packages Holdings Berhad,220.03M
495,CEPAT,Cepatwawasan Group Berhad,219.37M
496,TUNEPRO,Tune Protect Group Berhad,218.56M
497,MTAG,MTAG Group Berhad,217.93M
498,TOMEI,Tomei Consolidated Berhad,217.60M
499,ALSREIT,Al-Salam Real Estate Investment Trust,217.50M
500,UNIMECH,Unimech Group Berhad,217.22M
